Age	lx	mx
0	1	0
1	0.784	0
2	0.735	0
3	0.712	0
4	0.685	0
5	0.662	0
6	0.649	0
7	0.645	0
8	0.636	0
9	0.614	0
10	0.61	0
11	0.596	0
12	0.592	0
13	0.584	0
14	0.579	0
15	0.574	0
16	0.57	0
17	0.565	0
18	0.56	0
19	0.56	0
20	0.549	7.95472E-05
21	0.543	0.000136615
22	0.533	0.000229884
23	0.533	0.000379015
24	0.533	0.000612266
25	0.533	0.000969083
26	0.533	0.001502861
27	0.533	0.002283565
28	0.521	0.003399733
29	0.521	0.004959217
30	0.515	0.007087912
31	0.509	0.009925681
32	0.509	0.013618811
33	0.509	0.01830859
34	0.503	0.024116122
35	0.503	0.031124105
36	0.503	0.039357103
37	0.489	0.04876253
38	0.489	0.059195158
39	0.481	0.070408158
40	0.463	0.082053408
41	0.454	0.093692994
42	0.445	0.104822487
43	0.445	0.114904925
44	0.445	0.12341265
45	0.445	0.129872608
46	0.434	0.133909778
47	0.414	0.1352832
48	0.414	0.133909778
49	0.414	0.129872608
50	0.404	0.12341265
51	0.404	0.114904925
52	0.386	0.104822487
53	0.377	0.093692994
54	0.369	0.082053408
55	0.36	0.070408158
56	0.354	0.059195158
57	0.354	0.04876253
58	0.347	0.039357103
59	0.347	0.031124105
60	0.34	0.024116122
61	0.334	0.01830859
62	0.326	0.013618811
63	0.326	0.009925681
64	0.311	0.007087912
65	0.311	0.004959217
66	0.311	0.003399733
67	0.278	0.002283565
68	0.27	0.001502861
69	0.27	0.000969083
70	0.244	0.000612266
71	0.232	0.000379015
72	0.22	0.000229884
73	0.208	0.000136615
74	0.171	7.95472E-05
75	0.143	4.53825E-05
76	0.1	2.53681E-05
77	0.091	1.38939E-05
78	0.063	7.45588E-06
79	0.053	3.92021E-06
80	0.042	2.01956E-06
81	0.042	1.01939E-06
82	0.021	5.04154E-07
83	0.021	2.44299E-07
84	0.021	1.15989E-07
85	0.011	5.3957E-08
86	0.011	2.45933E-08
