Age	lx	mx
0	1	0.062141567
1	0.784	0.070956583
2	0.735	0.07938529
3	0.712	0.087021031
4	0.685	0.093464192
5	0.662	0.098356516
6	0.649	0.101413989
7	0.645	0.102454124
8	0.636	0.101413989
9	0.614	0.098356516
10	0.61	0.093464192
11	0.596	0.087021031
12	0.592	0.07938529
13	0.584	0.070956583
14	0.579	0.062141567
15	0.574	0.053322261
16	0.57	0.044830312
17	0.565	0.036929362
18	0.56	0.029806344
19	0.56	0.023571241
20	0.549	0.01826388
21	0.543	0.013865658
22	0.533	0.010313944
23	0.533	0.007517023
24	0.533	0.005367893
25	0.533	0.003755768
26	0.533	0.002574722
27	0.533	0.001729414
28	0.521	0.001138163
29	0.521	0.000733916
30	0.515	0.000463688
31	0.509	0.000287039
32	0.509	0.000174098
33	0.509	0.000103463
34	0.503	6.02435E-05
35	0.503	3.43695E-05
36	0.503	1.92121E-05
37	0.489	1.05223E-05
38	0.489	5.64657E-06
39	0.481	2.9689E-06
40	0.463	1.52948E-06
41	0.454	7.72018E-07
42	0.445	3.81811E-07
43	0.445	1.85015E-07
44	0.445	8.78418E-08
45	0.445	4.08633E-08
46	0.434	1.86252E-08
47	0.414	8.31778E-09
48	0.414	3.63957E-09
49	0.414	1.56037E-09
50	0.404	6.55458E-10
51	0.404	2.69772E-10
52	0.386	1.0879E-10
53	0.377	4.29847E-11
54	0.369	1.66409E-11
55	0.36	6.31215E-12
56	0.354	2.34593E-12
57	0.354	8.54257E-13
58	0.347	3.04789E-13
59	0.347	1.06548E-13
60	0.34	3.64948E-14
61	0.334	1.22477E-14
62	0.326	4.02727E-15
63	0.326	1.2975E-15
64	0.311	4.09579E-16
65	0.311	1.2668E-16
66	0.311	3.83895E-17
67	0.278	0
68	0.27	0
69	0.27	0
70	0.244	0
71	0.232	0
72	0.22	0
73	0.208	0
74	0.171	0
75	0.143	0
76	0.1	0
77	0.091	0
78	0.063	0
79	0.053	0
80	0.042	0
81	0.042	0
82	0.021	0
83	0.021	0
84	0.021	0
85	0.011	0
86	0.011	0
