Age	lx	mx
0	1	6.37063E-05
1	0.784	0.00010941
2	0.735	0.000184105
3	0.712	0.000303538
4	0.685	0.00049034
5	0.662	0.000776102
6	0.649	0.001203584
7	0.645	0.001828821
8	0.636	0.002722717
9	0.614	0.003971649
10	0.61	0.00567644
11	0.596	0.007949103
12	0.592	0.01090679
13	0.584	0.014662657
14	0.579	0.019313689
15	0.574	0.024926118
16	0.57	0.031519615
17	0.565	0.039052065
18	0.56	0.047407162
19	0.56	0.05638723
20	0.549	0.06571347
21	0.543	0.075035174
22	0.533	0.083948364
23	0.533	0.092023007
24	0.533	0.098836522
25	0.533	0.104010058
26	0.533	0.107243275
27	0.533	0.108343196
28	0.521	0.107243275
29	0.521	0.104010058
30	0.515	0.098836522
31	0.509	0.092023007
32	0.509	0.083948364
33	0.509	0.075035174
34	0.503	0.06571347
35	0.503	0.05638723
36	0.503	0.047407162
37	0.489	0.039052065
38	0.489	0.031519615
39	0.481	0.024926118
40	0.463	0.019313689
41	0.454	0.014662657
42	0.445	0.01090679
43	0.445	0.007949103
44	0.445	0.00567644
45	0.445	0.003971649
46	0.434	0.002722717
47	0.414	0.001828821
48	0.414	0.001203584
49	0.414	0.000776102
50	0.404	0.00049034
51	0.404	0.000303538
52	0.386	0.000184105
53	0.377	0.00010941
54	0.369	6.37063E-05
55	0.36	3.63451E-05
56	0.354	2.03164E-05
57	0.354	1.11271E-05
58	0.347	5.97113E-06
59	0.347	3.13955E-06
60	0.34	1.61739E-06
61	0.334	8.16393E-07
62	0.326	4.03758E-07
63	0.326	1.95649E-07
64	0.311	9.2891E-08
65	0.311	4.32121E-08
66	0.311	1.96958E-08
67	0.278	8.79588E-09
68	0.27	3.84877E-09
69	0.27	1.65006E-09
70	0.244	6.93134E-10
71	0.232	2.85279E-10
72	0.22	1.15043E-10
73	0.208	4.54555E-11
74	0.171	1.75974E-11
75	0.143	6.67498E-12
76	0.1	2.48077E-12
77	0.091	9.0336E-13
78	0.063	3.22308E-13
79	0.053	1.12673E-13
80	0.042	3.85926E-14
81	0.042	1.29516E-14
82	0.021	4.25876E-15
83	0.021	1.37208E-15
84	0.021	4.33122E-16
85	0.011	1.33961E-16
86	0.011	4.05961E-17

