US Females T-20		US Females T+20		Hadza T-20		Hadza T+20		Type II T-20		Type II T+20
0.5	 		0.5			0.4989494		0.5			0.4999629		0.4999992
0.4998108		0.4999998		0.4982878		0.4999999		0.4999324		0.4999976
0.4995149		0.4999995		0.4979613		0.4999998		0.4998775		0.4999946
0.4992926		0.4999989		0.4976555		0.4999995		0.4998194		0.49999
0.4989995		0.4999979		0.4973196		0.4999989		0.4997525		0.4999825
0.4986441		0.4999962		0.496936		0.4999977		0.4996738		0.4999713
0.4982526		0.4999936		0.4966604		0.4999955		0.4995975		0.4999546
0.4979326		0.4999897		0.4963825		0.4999917		0.4995106		0.4999305
0.4975645		0.4999845		0.4961037		0.4999849		0.4994071		0.499899
0.4972357		0.499977		0.4957673		0.4999738		0.4993026		0.4998593
0.496887		0.4999673		0.4952383		0.4999558		0.4992204		0.4998087
0.4964513		0.4999534		0.4947815		0.4999284		0.4991285		0.4997473
0.4960549		0.4999367		0.4943715		0.4998891		0.4990409		0.4996778
0.4956825		0.4999175		0.4939313		0.499834		0.4989221		0.4995997
0.4952473		0.4998954		0.4935732		0.4997599		0.4988222		0.4995152
0.4947997		0.4998712		0.4932717		0.499663		0.4987497		0.4994269
0.494444		0.4998455		0.4928722		0.4995402		0.4986502		0.4993338
0.4941242		0.4998191		0.4924351		0.4993905		0.4985361		0.4992444
0.4938386		0.4997912		0.4921804		0.4992166		0.4983986		0.4991562
0.493488		0.499763		0.4918667		0.499024		0.498327		0.4990699
0.4931452		0.4997357		0.4915181		0.4988145		0.4982484		0.4989877
0.4928214		0.49971			0.4910819		0.4985931		0.4981242		0.4989095
0.4925591		0.499686		0.4907816		0.4983684		0.4980563		0.4988379
0.4923452		0.4996632		0.4904813		0.4981444		0.4979606		0.4987705
0.492086		0.4996418		0.4901405		0.4979293		0.4978387		0.4987074
0.4917881		0.4996226		0.4896978		0.4977286		0.4977546		0.4986482
0.4915144		0.4996051		0.4894059		0.4975445		0.4976722		0.4985934
0.4912659		0.499589		0.4890475		0.4973804		0.4975845		0.4985459
0.4909732		0.4995735		0.4886725		0.4972367		0.4974728		0.4985031
0.4907659		0.4995596		0.4884486		0.497114		0.4973746		0.4984599
0.4904897		0.4995462		0.4881305		0.4970113		0.4972591		0.4984257
0.4901828		0.4995338		0.4878839		0.4969254		0.4971715		0.4983915
0.4898205		0.4995211		0.4874458		0.4968574		0.4971249		0.4983593
0.4894924		0.4995083		0.4870988		0.4968037		0.4970232		0.4983252
0.4891001		0.4994946		0.4866148		0.4967634		0.4969146		0.4982918
0.488738		0.4994802		0.4861274		0.4967371		0.4968053		0.4982602
0.4883506		0.4994649		0.4858614		0.4967229		0.4967543		0.4982276
0.4879364		0.4994483		0.4857074		0.4967215		0.4966946		0.4981966
0.487529		0.4994297		0.4856345		0.4967309		0.4966085		0.4981636
0.4871823		0.4994094		0.485142		0.4967481		0.4965551		0.4981376
0.4868894		0.4993874		0.4848677		0.4967737		0.4965032		0.498118
0.4865488		0.4993636		0.4845019		0.4968041		0.4964201		0.498098
0.4861781		0.4993381		0.4841863		0.4968366		0.4962927		0.4980814
0.4857895		0.4993115		0.4839724		0.4968675		0.4961841		0.4980632
