Age	lx	mx
0	1	0
1	0.9	0
2	0.81	0
3	0.729	0
4	0.6561	0
5	0.59049	0
6	0.531441	0
7	0.4782969	0
8	0.43046721	0
9	0.387420489	0
10	0.34867844	0
11	0.313810596	0
12	0.282429536	0
13	0.254186583	0
14	0.228767925	0
15	0.205891132	0
16	0.185302019	0
17	0.166771817	0
18	0.150094635	0
19	0.135085172	0
20	0.121576655	0.00361397
21	0.109418989	0.006206678
22	0.09847709	0.010444022
23	0.088629381	0.017219291
24	0.079766443	0.02781631
25	0.071789799	0.044027193
26	0.064610819	0.068277655
27	0.058149737	0.103746485
28	0.052334763	0.154455968
29	0.047101287	0.225306152
30	0.042391158	0.322016587
31	0.038152042	0.450941614
32	0.034336838	0.618727105
33	0.030903154	0.831792243
34	0.027812839	1.095638853
35	0.025031555	1.414024184
36	0.0225284	1.788064145
37	0.02027556	2.215369611
38	0.018248004	2.689342703
39	0.016423203	3.198769535
40	0.014780883	3.727834225
41	0.013302795	4.256641595
42	0.011972515	4.762274531
43	0.010775264	5.220337855
44	0.009697737	5.606859133
45	0.008727964	5.900346672
46	0.007855167	6.083762598
47	0.00706965	6.146159595
48	0.006362685	6.083762598
49	0.005726417	5.900346672
50	0.005153775	5.606859133
51	0.004638398	5.220337855
52	0.004174558	4.762274531
53	0.003757102	4.256641595
54	0.003381392	3.727834225
55	0.003043253	3.198769535
56	0.002738927	2.689342703
57	0.002465035	2.215369611
58	0.002218531	1.788064145
59	0.001996678	1.414024184
60	0.00179701	1.095638853
61	0.001617309	0.831792243
62	0.001455578	0.618727105
63	0.001310021	0.450941614
64	0.001179018	0.322016587
65	0.001061117	0.225306152
66	0.000955005	0.154455968
67	0.000859504	0.103746485
68	0.000773554	0.068277655
69	0.000696199	0.044027193
70	0.000626579	0.02781631
71	0.000563921	0.017219291
72	0.000507529	0.010444022
73	0.000456776	0.006206678
74	0.000411098	0.00361397
75	0.000369988	0.002061807
76	0.00033299	0.001152521
77	0.000299691	0.000631225
78	0.000269722	0.000338734
79	0.000242749	0.000178102
80	0.000218475	9.17523E-05
81	0.000196627	4.63128E-05
82	0.000176964	2.29046E-05
83	0.000159268	1.10989E-05
84	0.000143341	5.26958E-06
85	0.000129007	2.45136E-06
86	0.000116106	1.11732E-06
