Age	lx	mx
0	1	0.087277842
1	0.9	0.099658534
2	0.81	0.111496654
3	0.729	0.122221052
4	0.6561	0.131270474
5	0.59049	0.138141745
6	0.531441	0.142435966
7	0.4782969	0.143896835
8	0.43046721	0.142435966
9	0.387420489	0.138141745
10	0.34867844	0.131270474
11	0.313810596	0.122221052
12	0.282429536	0.111496654
13	0.254186583	0.099658534
14	0.228767925	0.087277842
15	0.205891132	0.074891126
16	0.185302019	0.062964181
17	0.166771817	0.051867295
18	0.150094635	0.041863015
19	0.135085172	0.033105812
20	0.121576655	0.025651622
21	0.109418989	0.019474319
22	0.09847709	0.014485936
23	0.088629381	0.010557661
24	0.079766443	0.007539207
25	0.071789799	0.005274976
26	0.064610819	0.003616197
27	0.058149737	0.002428962
28	0.052334763	0.001598549
29	0.047101287	0.001030786
30	0.042391158	0.000651249
31	0.038152042	0.000403146
32	0.034336838	0.00024452
33	0.030903154	0.000145314
34	0.027812839	8.4612E-05
35	0.025031555	4.8272E-05
36	0.0225284	2.69834E-05
37	0.02027556	1.47785E-05
38	0.018248004	7.9306E-06
39	0.016423203	4.16982E-06
40	0.014780883	2.14815E-06
41	0.013302795	1.0843E-06
42	0.011972515	5.36254E-07
43	0.010775264	2.59853E-07
44	0.009697737	1.23374E-07
45	0.008727964	5.73925E-08
46	0.007855167	2.61591E-08
47	0.00706965	1.16823E-08
48	0.006362685	5.11177E-09
49	0.005726417	2.19154E-09
50	0.005153775	9.20591E-10
51	0.004638398	3.78895E-10
52	0.004174558	1.52795E-10
53	0.003757102	6.03721E-11
54	0.003381392	2.33721E-11
55	0.003043253	8.86543E-12
56	0.002738927	3.29485E-12
57	0.002465035	1.1998E-12
58	0.002218531	4.28076E-13
59	0.001996678	1.49647E-13
60	0.00179701	5.12571E-14
61	0.001617309	1.72018E-14
62	0.001455578	5.6563E-15
63	0.001310021	1.82234E-15
64	0.001179018	5.75254E-16
65	0.001061117	1.77921E-16
66	0.000955005	5.3918E-17
67	0.000859504	0
68	0.000773554	0
69	0.000696199	0
70	0.000626579	0
71	0.000563921	0
72	0.000507529	0
73	0.000456776	0
74	0.000411098	0
75	0.000369988	0
76	0.00033299	0
77	0.000299691	0
78	0.000269722	0
79	0.000242749	0
80	0.000218475	0
81	0.000196627	0
82	0.000176964	0
83	0.000159268	0
84	0.000143341	0
85	0.000129007	0
86	0.000116106	0

