Age	lx	mx
0	1	0.000439374
1	0.9	0.000754587
2	0.81	0.001269749
3	0.729	0.002093464
4	0.6561	0.003381814
5	0.59049	0.005352679
6	0.531441	0.008300969
7	0.4782969	0.012613151
8	0.43046721	0.01877824
9	0.387420489	0.027391968
10	0.34867844	0.039149699
11	0.313810596	0.054823973
12	0.282429536	0.075222772
13	0.254186583	0.101126518
14	0.228767925	0.133204106
15	0.205891132	0.17191233
16	0.185302019	0.217386857
17	0.166771817	0.269337226
18	0.150094635	0.326961289
19	0.135085172	0.388895699
20	0.121576655	0.453217614
21	0.109418989	0.517508245
22	0.09847709	0.578981406
23	0.088629381	0.634671212
24	0.079766443	0.681663176
25	0.071789799	0.717344409
26	0.064610819	0.739643504
27	0.058149737	0.747229522
28	0.052334763	0.739643504
29	0.047101287	0.717344409
30	0.042391158	0.681663176
31	0.038152042	0.634671212
32	0.034336838	0.578981406
33	0.030903154	0.517508245
34	0.027812839	0.453217614
35	0.025031555	0.388895699
36	0.0225284	0.326961289
37	0.02027556	0.269337226
38	0.018248004	0.217386857
39	0.016423203	0.17191233
40	0.014780883	0.133204106
41	0.013302795	0.101126518
42	0.011972515	0.075222772
43	0.010775264	0.054823973
44	0.009697737	0.039149699
45	0.008727964	0.027391968
46	0.007855167	0.01877824
47	0.00706965	0.012613151
48	0.006362685	0.008300969
49	0.005726417	0.005352679
50	0.005153775	0.003381814
51	0.004638398	0.002093464
52	0.004174558	0.001269749
53	0.003757102	0.000754587
54	0.003381392	0.000439374
55	0.003043253	0.000250668
56	0.002738927	0.00014012
57	0.002465035	7.67422E-05
58	0.002218531	4.11821E-05
59	0.001996678	2.16531E-05
60	0.00179701	1.11549E-05
61	0.001617309	5.63056E-06
62	0.001455578	2.78467E-06
63	0.001310021	1.34937E-06
64	0.001179018	6.40658E-07
65	0.001061117	2.98028E-07
66	0.000955005	1.35839E-07
67	0.000859504	6.06641E-08
68	0.000773554	2.65445E-08
69	0.000696199	1.13803E-08
70	0.000626579	4.78046E-09
71	0.000563921	1.96753E-09
72	0.000507529	7.93437E-10
73	0.000456776	3.13501E-10
74	0.000411098	1.21367E-10
75	0.000369988	4.60365E-11
76	0.00033299	1.71096E-11
77	0.000299691	6.23036E-12
78	0.000269722	2.22292E-12
79	0.000242749	7.77092E-13
80	0.000218475	2.66168E-13
81	0.000196627	8.93256E-14
82	0.000176964	2.93721E-14
83	0.000159268	9.46306E-15
84	0.000143341	2.98719E-15
85	0.000129007	9.23912E-16
86	0.000116106	2.79986E-16
