Age	lx	mx
0	1	0
1	0.99354	0
2	0.99308	0
3	0.99278	0
4	0.99258	0
5	0.99239	0
6	0.99223	0
7	0.99209	0
8	0.99195	0
9	0.99182	0
10	0.99169	0
11	0.99157	0
12	0.99142	0
13	0.99128	0
14	0.99111	0
15	0.99089	0
16	0.99062	0
17	0.99026	0
18	0.98986	0
19	0.98939	0
20	0.98895	3.50076E-05
21	0.9885	6.01224E-05
22	0.98802	0.000101169
23	0.98756	0.000166799
24	0.9871	0.00026945
25	0.98665	0.00042648
26	0.98616	0.000661389
27	0.98567	0.001004966
28	0.98515	0.001496177
29	0.98461	0.002182485
30	0.98404	0.003119295
31	0.98345	0.004368159
32	0.98278	0.005993456
33	0.98206	0.008057364
34	0.98127	0.010613181
35	0.98043	0.0136973
36	0.97952	0.017320532
37	0.97853	0.021459734
38	0.97741	0.026050993
39	0.97621	0.030985683
40	0.97489	0.036110602
41	0.97347	0.041233027
42	0.97191	0.046130967
43	0.97026	0.050568113
44	0.96841	0.054312248
45	0.96648	0.057155188
46	0.96438	0.058931893
47	0.96218	0.059536317
48	0.95977	0.058931893
49	0.95716	0.057155188
50	0.95438	0.054312248
51	0.95136	0.050568113
52	0.94814	0.046130967
53	0.94456	0.041233027
54	0.94066	0.036110602
55	0.93639	0.030985683
56	0.93176	0.026050993
57	0.9266	0.021459734
58	0.92103	0.017320532
59	0.91492	0.0136973
60	0.90829	0.010613181
61	0.90116	0.008057364
62	0.89314	0.005993456
63	0.88449	0.004368159
64	0.87526	0.003119295
65	0.86516	0.002182485
66	0.85431	0.001496177
67	0.84247	0.001004966
68	0.82986	0.000661389
69	0.8163	0.00042648
70	0.80192	0.00026945
71	0.78651	0.000166799
72	0.77008	0.000101169
73	0.75214	6.01224E-05
74	0.73318	3.50076E-05
75	0.71296	1.99722E-05
76	0.69093	1.11642E-05
77	0.66789	6.11453E-06
78	0.64364	3.28123E-06
79	0.61735	1.72523E-06
80	0.58972	8.88782E-07
81	0.55886	4.48621E-07
82	0.52746	2.21871E-07
83	0.49424	1.07513E-07
84	0.45952	5.10451E-08
85	0.42349	2.37457E-08
86	0.38635	1.08232E-08
87	0.34877	4.83348E-09
88	0.31093	2.11496E-09
89	0.2738	9.06737E-10
90	0.2372	3.80888E-10
91	0.20198	1.56765E-10
92	0.1689	6.32179E-11
93	0.13794	2.49785E-11
94	0.11061	9.67007E-12
95	0.08659	3.66801E-12
96	0.06632	1.36322E-12
97	0.0495	4.96411E-13
98	0.03595	1.77114E-13
99	0.02537	6.19155E-14
100	0.01737	2.12072E-14
101	0.01153	7.11714E-15
102	0.00741	2.34026E-15
103	0.00461	7.53978E-16
104	0.00277	2.38007E-16
105	0.00161	7.36138E-17

