Age	lx	mx
0	1	0.040601276
1	0.99354	0.04636072
2	0.99308	0.051867763
3	0.99278	0.056856707
4	0.99258	0.061066459
5	0.99239	0.064262944
6	0.99223	0.066260598
7	0.99209	0.066940187
8	0.99195	0.066260598
9	0.99182	0.064262944
10	0.99169	0.061066459
11	0.99157	0.056856707
12	0.99142	0.051867763
13	0.99128	0.04636072
14	0.99111	0.040601276
15	0.99089	0.034839029
16	0.99062	0.029290666
17	0.99026	0.024128443
18	0.98986	0.019474494
19	0.98939	0.015400681
20	0.98895	0.011933024
21	0.9885	0.009059369
22	0.98802	0.006738795
23	0.98756	0.004911378
24	0.9871	0.003507207
25	0.98665	0.002453896
26	0.98616	0.00168224
27	0.98567	0.001129943
28	0.98515	0.000743638
29	0.98461	0.000479517
30	0.98404	0.000302958
31	0.98345	0.000187542
32	0.98278	0.00011375
33	0.98206	6.75992E-05
34	0.98127	3.93611E-05
35	0.98043	2.24559E-05
36	0.97952	1.25525E-05
37	0.97853	6.87493E-06
38	0.97741	3.68928E-06
39	0.97621	1.93978E-06
40	0.97489	9.9931E-07
41	0.97347	5.04411E-07
42	0.97191	2.49463E-07
43	0.97026	1.20883E-07
44	0.96841	5.7393E-08
45	0.96648	2.66987E-08
46	0.96438	1.21691E-08
47	0.96218	5.43456E-09
48	0.95977	2.37797E-09
49	0.95716	1.0195E-09
50	0.95438	4.28255E-10
51	0.95136	1.76261E-10
52	0.94814	7.10796E-11
53	0.94456	2.80848E-11
54	0.94066	1.08726E-11
55	0.93639	4.12416E-12
56	0.93176	1.53275E-12
57	0.9266	5.58144E-13
58	0.92103	1.99139E-13
59	0.91492	6.96153E-14
60	0.90829	2.38445E-14
61	0.90116	8.00222E-15
62	0.89314	2.63129E-15
63	0.88449	8.47742E-16
64	0.87526	2.67606E-16
65	0.86516	8.27683E-17
66	0.85431	2.50824E-17
67	0.84247	7.44753E-18
68	0.82986	2.16666E-18
69	0.8163	6.176E-19
70	0.80192	1.72489E-19
71	0.78651	4.72009E-20
72	0.77008	1.26554E-20
73	0.75214	3.32461E-21
74	0.73318	8.55738E-22
75	0.71296	2.15813E-22
76	0.69093	5.33276E-23
77	0.66789	1.29111E-23
78	0.64364	3.06274E-24
79	0.61735	7.11861E-25
80	0.58972	1.62113E-25
81	0.55886	3.61722E-26
82	0.52746	7.90806E-27
83	0.49424	1.69396E-27
84	0.45952	3.55526E-28
85	0.42349	7.31099E-29
86	0.38635	0
87	0.34877	0
88	0.31093	0
89	0.2738	0
90	0.2372	0
91	0.20198	0
92	0.1689	0
93	0.13794	0
94	0.11061	0
95	0.08659	0
96	0.06632	0
97	0.0495	0
98	0.03595	0
99	0.02537	0
100	0.01737	0
101	0.01153	0
102	0.00741	0
103	0.00461	0
104	0.00277	0
105	0.00161	0
