Age	lx	mx
0	1	3.40246E-05
1	0.99354	5.84342E-05
2	0.99308	9.83281E-05
3	0.99278	0.000162116
4	0.99258	0.000261884
5	0.99239	0.000414505
6	0.99223	0.000642817
7	0.99209	0.000976747
8	0.99195	0.001454165
9	0.99182	0.002121202
10	0.99169	0.003031706
11	0.99157	0.004245503
12	0.99142	0.005825162
13	0.99128	0.007831117
14	0.99111	0.010315167
15	0.99089	0.013312686
16	0.99062	0.016834179
17	0.99026	0.020857153
18	0.98986	0.025319492
19	0.98939	0.030115618
20	0.98895	0.035096631
21	0.9885	0.040075221
22	0.98802	0.044835628
23	0.98756	0.049148181
24	0.9871	0.052787183
25	0.98665	0.055550294
26	0.98616	0.05727711
27	0.98567	0.057864562
28	0.98515	0.05727711
29	0.98461	0.055550294
30	0.98404	0.052787183
31	0.98345	0.049148181
32	0.98278	0.044835628
33	0.98206	0.040075221
34	0.98127	0.035096631
35	0.98043	0.030115618
36	0.97952	0.025319492
37	0.97853	0.020857153
38	0.97741	0.016834179
39	0.97621	0.013312686
40	0.97489	0.010315167
41	0.97347	0.007831117
42	0.97191	0.005825162
43	0.97026	0.004245503
44	0.96841	0.003031706
45	0.96648	0.002121202
46	0.96438	0.001454165
47	0.96218	0.000976747
48	0.95977	0.000642817
49	0.95716	0.000414505
50	0.95438	0.000261884
51	0.95136	0.000162116
52	0.94814	9.83281E-05
53	0.94456	5.84342E-05
54	0.94066	3.40246E-05
55	0.93639	1.94114E-05
56	0.93176	1.08507E-05
57	0.9266	5.94284E-06
58	0.92103	3.1891E-06
59	0.91492	1.67679E-06
60	0.90829	8.63826E-07
61	0.90116	4.36024E-07
62	0.89314	2.15641E-07
63	0.88449	1.04494E-07
64	0.87526	4.96118E-08
65	0.86516	2.3079E-08
66	0.85431	1.05193E-08
67	0.84247	4.69776E-09
68	0.82986	2.05557E-09
69	0.8163	8.81276E-10
70	0.80192	3.70193E-10
71	0.78651	1.52363E-10
72	0.77008	6.14427E-11
73	0.75214	2.42771E-11
74	0.73318	9.39854E-12
75	0.71296	3.56501E-12
76	0.69093	1.32495E-12
77	0.66789	4.82472E-13
78	0.64364	1.7214E-13
79	0.61735	6.0177E-14
80	0.58972	2.06117E-14
81	0.55886	6.91729E-15
82	0.52746	2.27454E-15
83	0.49424	7.32806E-16
84	0.45952	2.31324E-16
85	0.42349	7.15467E-17
86	0.38635	2.16818E-17
87	0.34877	6.43781E-18
88	0.31093	1.87291E-18
89	0.2738	5.33867E-19
90	0.2372	1.49103E-19
91	0.20198	4.08015E-20
92	0.1689	1.09396E-20
93	0.13794	2.87386E-21
94	0.11061	7.39718E-22
95	0.08659	1.86554E-22
96	0.06632	4.60975E-23
97	0.0495	1.11606E-23
98	0.03595	2.6475E-24
99	0.02537	6.15348E-25
100	0.01737	1.40134E-25
101	0.01153	3.1268E-26
102	0.00741	6.8359E-27
103	0.00461	1.46429E-27
104	0.00277	3.07324E-28
105	0.00161	6.31978E-29

